Date,Open,High,Low,Close,Adj Close,Volume
2021-03-25,286.500000,287.010010,283.850006,285.579987,268.854828,32071050
2021-03-26,288.630005,292.750000,288.320007,288.989990,272.065125,51572130
2021-03-29,289.720001,294.089996,289.269989,293.049988,275.887329,40847890
2021-03-30,294.859985,295.720001,291.500000,293.450012,276.263947,36333610
2021-03-31,294.000000,294.420013,290.260010,291.279999,274.221008,44193590
2021-04-01,292.000000,294.720001,288.429993,289.410004,272.460541,47627080
2021-04-02,290.809998,292.399994,289.140015,291.839996,274.748199,17776741
2021-04-05,290.799988,291.480011,287.070007,288.920013,271.999237,32630350
2021-04-06,289.000000,289.429993,281.619995,282.059998,265.540985,72246510
2021-04-07,281.679993,284.290009,278.540009,282.390015,265.851685,69822620
2021-04-08,283.720001,283.880005,283.519989,283.850006,267.226166,49948799
2021-04-09,283.470001,283.790009,280.089996,280.410004,263.987610,37735480
2021-04-12,278.200012,285.339996,278.000000,281.779999,265.277374,54696590
2021-04-13,282.929993,286.989990,281.149994,285.959991,269.212555,58138710
2021-04-14,290.000000,291.579987,286.720001,287.989990,271.123688,56808831
2021-04-15,281.500000,285.179993,280.869995,283.540009,266.934326,85393090
2021-04-16,285.709991,289.299988,284.089996,288.730011,271.820374,61130820
2021-04-19,287.859985,289.250000,286.040009,287.440002,270.605896,49529410
2021-04-20,288.899994,290.920013,286.589996,287.739990,270.888306,61341400
2021-04-21,288.010010,290.200012,287.059998,288.450012,271.556763,47853970
2021-04-22,289.040009,294.670013,286.929993,292.720001,275.576660,70528160
2021-04-23,293.100006,294.200012,290.779999,293.000000,275.840271,40127205
2021-04-26,294.299988,296.480011,293.100006,295.049988,277.770203,43294520
2021-04-27,295.739990,300.250000,295.609985,297.850006,280.406250,60140040
2021-04-28,299.000000,299.260010,295.890015,298.269989,280.801636,38699870
2021-04-29,301.000000,301.839996,294.790009,296.500000,279.135284,55021700
2021-04-30,296.920013,298.100006,295.029999,297.570007,280.142639,33275390
2021-05-04,298.700012,304.230011,298.200012,302.070007,284.379089,55896300
2021-05-05,304.010010,306.029999,302.709991,305.720001,287.815308,38619680
2021-05-06,306.290009,313.279999,306.250000,312.940002,294.612488,54743370
2021-05-07,316.000000,319.160004,315.480011,317.929993,299.310242,52221410
2021-05-10,318.260010,319.970001,314.309998,319.299988,300.599976,52374280
2021-05-11,319.940002,309.480011,301.000000,306.279999,306.279999,76503961
2021-05-12,307.390015,309.239990,302.000000,302.059998,302.059998,52131050
2021-05-13,302.109985,306.790009,299.329987,306.339996,306.339996,54368590
2021-05-14,308.200012,308.239990,302.329987,303.239990,303.239990,24583260
2021-05-17,303.500000,305.239990,301.010010,303.299988,303.299988,26435250
2021-05-18,305.010010,306.619995,303.329987,304.480011,304.480011,30489380
2021-05-19,304.380005,304.859985,295.100006,297.420013,297.420013,67673220
2021-05-20,297.940002,298.369995,293.000000,296.839996,296.839996,56775780
2021-05-21,296.850006,302.980011,294.899994,301.579987,301.579987,49429460
2021-05-24,302.019989,304.750000,299.589996,300.070007,300.070007,28674700
2021-05-25,301.769989,307.399994,301.570007,306.899994,306.899994,35078810
2021-05-26,307.839996,309.500000,305.329987,306.390015,306.390015,33462370
2021-05-27,307.119995,313.899994,305.720001,313.149994,313.149994,67195230
2021-05-28,313.299988,314.000000,309.059998,310.019989,310.019989,33327000
2021-05-31,309.299988,312.600006,308.820007,310.390015,310.390015,22034940
2021-06-01,312.600006,314.170013,310.029999,311.209991,311.209991,35801140
2021-06-02,311.600006,313.850006,310.609985,313.440002,313.440002,24476570
2021-06-03,314.809998,315.709991,309.869995,312.769989,312.769989,32737141
2021-06-04,313.000000,313.000000,307.600006,310.679993,310.679993,34898290
2021-06-07,310.029999,316.000000,308.570007,315.109985,315.109985,38682370
2021-06-08,315.290009,316.179993,312.500000,314.399994,314.399994,33558681
2021-06-09,315.000000,315.899994,312.899994,315.269989,315.269989,23704850
2021-06-10,314.869995,316.579987,313.760010,314.369995,314.369995,27674680
2021-06-11,314.880005,315.079987,312.500000,313.100006,313.100006,20675164
2021-06-14,313.480011,314.869995,310.399994,314.429993,314.429993,24244530
2021-06-15,314.140015,315.600006,312.399994,312.980011,312.980011,28097551
2021-06-16,312.500000,314.540009,311.029999,312.989990,312.989990,33796520
2021-06-17,311.000000,315.420013,310.459991,314.140015,314.140015,41861580
2021-06-18,312.899994,313.820007,308.130005,309.809998,309.809998,59405470
2021-06-21,308.470001,309.880005,306.559998,309.230011,309.230011,34042300
2021-06-22,310.790009,311.170013,308.130005,309.649994,309.649994,21849180
2021-06-23,310.450012,312.000000,308.690002,310.619995,310.619995,23355040
2021-06-24,309.799988,311.200012,308.839996,310.470001,310.470001,18742160
2021-06-25,310.579987,312.500000,309.820007,311.799988,311.799988,20727122
2021-06-28,311.769989,312.059998,309.130005,309.570007,309.570007,18386430
2021-06-29,308.700012,309.230011,303.660004,305.459991,305.459991,32822870
2021-06-30,306.190002,306.910004,303.339996,305.549988,305.549988,30052911
2021-07-01,306.000000,307.350006,305.000000,305.299988,305.299988,19177190
2021-07-02,305.519989,308.369995,304.709991,307.260010,307.260010,27751110
2021-07-05,307.809998,308.109985,304.799988,307.170013,307.170013,15572730
2021-07-06,307.320007,307.589996,302.369995,302.779999,302.779999,31189000
2021-07-07,303.980011,306.200012,302.850006,304.130005,304.130005,21307290
2021-07-08,303.000000,304.299988,300.619995,302.799988,302.799988,29640580
2021-07-09,302.700012,304.100006,301.220001,303.869995,303.869995,19649622
2021-07-12,303.549988,306.200012,301.519989,306.140015,306.140015,24098850
2021-07-13,306.809998,307.220001,302.109985,303.700012,303.700012,20444530
2021-07-14,302.700012,303.690002,300.739990,302.049988,302.049988,22945970
2021-07-15,301.130005,303.500000,299.769989,301.959991,301.959991,19983500
2021-07-16,302.049988,304.779999,298.570007,300.209991,300.209991,32808751
2021-07-19,298.000000,298.359985,290.029999,291.209991,291.209991,38331630
2021-07-20,291.380005,296.720001,292.299988,295.950012,295.950012,33069900
2021-07-21,296.000000,296.940002,293.540009,294.929993,294.929993,16319150
2021-07-22,295.769989,298.170013,294.429993,296.549988,296.549988,19547110
2021-07-23,297.489990,298.690002,295.040009,295.929993,295.929993,13961590
2021-07-26,294.000000,302.480011,291.980011,302.250000,302.250000,30222291
2021-07-27,302.660004,304.589996,299.380005,299.500000,299.500000,37278892
2021-07-28,300.429993,302.980011,300.000000,302.269989,302.269989,24877150
2021-07-29,304.130005,305.200012,303.029999,304.029999,304.029999,26459311
2021-07-30,302.480011,306.670013,301.140015,306.040009,306.040009,47756243
2021-08-02,306.230011,308.630005,306.230011,307.309998,307.309998,29654174
2021-08-03,306.309998,309.799988,306.309998,309.589996,309.589996,32214379
2021-08-04,310.260010,312.000000,309.250000,311.609985,311.609985,29067901
2021-08-05,311.019989,315.910004,310.820007,315.190002,315.190002,34992254
2021-08-06,316.200012,320.000000,315.309998,319.600006,319.600006,52329520
2021-08-09,318.589996,328.290009,317.649994,326.980011,326.980011,69867741
2021-08-10,328.049988,331.290009,327.149994,329.640015,329.640015,40271288
2021-08-11,330.700012,330.839996,326.209991,330.100006,330.100006,33061000
2021-08-12,330.000000,330.640015,327.299988,329.200012,329.200012,19977255
2021-08-13,328.600006,330.269989,327.309998,328.700012,328.700012,17948801
2021-08-16,327.589996,330.519989,327.130005,329.420013,329.420013,22876630
2021-08-17,329.000000,335.700012,328.570007,334.970001,334.970001,40116860
2021-08-18,336.000000,338.980011,333.260010,337.799988,337.799988,32785590
2021-08-19,333.500000,333.730011,329.100006,330.790009,330.790009,40402861
2021-08-20,332.019989,333.269989,325.170013,326.570007,326.570007,34475340
2021-08-23,327.850006,329.809998,326.549988,328.950012,328.950012,19631231
2021-08-24,330.429993,331.140015,323.320007,324.290009,324.290009,34337495
2021-08-25,324.299988,325.140015,321.260010,324.790009,324.790009,26644830
2021-08-26,324.029999,325.549988,320.579987,322.890015,322.890015,25776440
2021-08-27,323.709991,326.950012,321.799988,326.790009,326.790009,25350740
2021-08-30,328.429993,329.380005,326.510010,328.529999,328.529999,18825630
2021-08-31,328.500000,330.480011,327.299988,328.140015,328.140015,31289750
2021-09-01,334.570007,334.570007,334.570007,334.500000,334.500000,30698661
2021-09-02,329.000000,329.000000,329.000000,329.010010,329.010010,31605960
2021-09-03,329.709991,329.709991,329.709991,329.700012,329.700012,29626393
2021-09-06,329.369995,329.369995,329.369995,329.589996,329.589996,17491440
2021-09-07,325.959991,325.959991,325.959991,325.549988,325.549988,24448110
2021-09-08,331.700012,331.700012,331.700012,332.600006,332.600006,47841541
2021-09-09,332.500000,332.670013,325.690002,327.470001,327.470001,27963830
2021-09-10,328.010010,328.429993,325.220001,326.899994,326.899994,15926841
2021-09-13,327.010010,327.899994,324.010010,326.720001,326.720001,21601850
2021-09-14,327.450012,328.839996,325.480011,327.480011,327.480011,20938950
2021-09-15,326.459991,334.600006,326.459991,332.670013,332.670013,42223930
2021-09-16,333.040009,334.500000,324.910004,326.299988,326.299988,60436343
2021-09-17,326.899994,331.730011,325.700012,330.920013,330.920013,52041880
2021-09-20,327.010010,328.850006,325.000000,327.049988,327.049988,27938531
2021-09-21,328.440002,329.410004,322.399994,323.910004,323.910004,44862590
2021-09-22,328.440002,328.890015,322.500000,327.540009,327.540009,35236231
2021-09-23,328.940002,329.390015,325.130005,326.559998,326.559998,25566940
2021-09-24,326.079987,326.230011,323.619995,325.339996,325.339996,23360680
2021-09-27,326.390015,332.459991,326.089996,331.859985,331.859985,32507455
2021-09-28,332.070007,334.480011,328.320007,330.700012,330.700012,50245810
2021-09-29,329.089996,330.410004,327.149994,328.100006,328.100006,26473790
2021-09-30,329.980011,342.200012,329.570007,339.140015,339.140015,76632230
2021-10-01,339.209991,339.940002,336.079987,337.589996,337.589996,35601050
2021-10-04,337.899994,349.260010,336.220001,346.839996,346.839996,56687500
2021-10-05,346.779999,365.000000,344.899994,363.380005,363.380005,81981951
2021-10-06,366.000000,375.480011,359.350006,362.559998,362.559998,91428090
2021-10-07,367.690002,374.000000,366.000000,369.010010,369.010010,47253580
2021-10-08,370.000000,374.549988,368.000000,372.970001,372.970001,29335220
2021-10-11,375.000000,388.109985,375.000000,387.200012,387.200012,63725645
2021-10-12,385.880005,386.859985,376.720001,378.609985,378.609985,49530021
2021-10-13,378.859985,380.519989,370.809998,380.200012,380.200012,50558020
2021-10-14,382.000000,383.109985,374.570007,376.489990,376.489990,34890320
2021-10-15,377.920013,378.410004,370.429993,370.859985,370.859985,35514790
2021-10-18,369.350006,369.910004,363.750000,365.399994,365.399994,36140400
2021-10-19,372.000000,372.000000,371.350006,371.679993,371.679993,38253061
2021-10-20,371.829987,371.970001,367.100006,371.290009,371.290009,26078440
2021-10-21,368.200012,371.140015,363.200012,364.589996,364.589996,22684170
2021-10-22,364.000000,370.390015,362.369995,364.829987,364.829987,24482111
2021-10-25,366.200012,371.679993,361.679993,369.730011,369.730011,34418710
2021-10-26,369.890015,374.630005,365.670013,372.839996,372.839996,39139530
2021-10-27,371.000000,374.000000,366.510010,372.769989,372.769989,33997180
2021-10-28,370.500000,374.920013,362.339996,363.950012,363.950012,51228583
2021-10-29,364.339996,364.339996,352.690002,355.700012,355.700012,49762761
2021-11-01,356.149994,371.470001,356.140015,370.320007,370.320007,51382300
2021-11-02,371.079987,371.369995,370.920013,371.200012,371.200012,35646402
2021-11-03,370.000000,370.200012,365.029999,367.959991,367.959991,26685110
2021-11-05,366.989990,367.559998,358.519989,359.940002,359.940002,36230870
2021-11-08,362.570007,363.970001,355.619995,358.850006,358.850006,38265570
2021-11-09,358.410004,364.579987,356.299988,356.920013,356.920013,39147312
2021-11-10,356.700012,358.760010,350.839996,353.100006,353.100006,40586990
2021-11-11,356.440002,357.769989,356.440002,357.100006,357.100006,39703880
2021-11-12,356.239990,356.239990,339.679993,349.510010,349.510010,95558292
2021-11-15,349.239990,352.799988,342.760010,344.589996,344.589996,55727520
2021-11-16,344.429993,346.470001,336.010010,338.720001,338.720001,57589280
2021-11-17,338.489990,343.559998,336.600006,339.399994,339.399994,45870730
2021-11-18,338.970001,343.119995,333.500000,335.910004,335.910004,42058040
2021-11-19,339.369995,339.989990,325.700012,327.250000,327.250000,62664810
2021-11-22,326.049988,326.309998,309.040009,309.950012,309.950012,131785611
2021-11-23,306.279999,325.660004,300.109985,324.100006,324.100006,138040280
2021-11-24,328.000000,329.940002,317.350006,320.220001,320.220001,74328710
2021-11-25,321.549988,322.950012,316.109985,317.880005,317.880005,41362773
2021-11-26,322.350006,312.000000,304.000000,305.200012,305.200012,85174510
2021-11-29,311.109985,322.149994,309.519989,316.640015,316.640015,76907421
2021-11-30,311.000000,318.579987,310.220001,315.660004,315.660004,90010691
2021-12-01,321.299988,329.440002,319.510010,328.859985,328.859985,61569131
2021-12-02,325.399994,329.000000,320.540009,326.290009,326.290009,56956970
2021-12-03,327.600006,328.950012,320.149994,320.700012,320.700012,33506208
2021-12-06,323.820007,324.000000,304.179993,305.540009,305.540009,91708721
2021-12-07,311.019989,312.799988,300.500000,307.700012,307.700012,137485370
2021-12-08,312.790009,316.880005,291.570007,293.989990,293.989990,219821040
2021-12-09,295.260010,304.940002,292.700012,302.390015,302.390015,124703340
2021-12-10,300.730011,304.279999,294.429993,295.940002,295.940002,77309461
2021-12-13,300.000000,300.989990,281.029999,281.309998,281.309998,133347410
2021-12-14,274.859985,286.089996,272.079987,282.250000,282.250000,167136410
2021-12-15,286.100006,287.549988,279.440002,281.299988,281.299988,76184630
2021-12-16,290.010010,298.700012,288.570007,297.450012,297.450012,124081330
2021-12-17,295.000000,296.730011,291.609985,296.059998,296.059998,103989540
2021-12-20,287.869995,290.440002,285.630005,287.250000,287.250000,75111041
2021-12-21,292.279999,293.000000,286.760010,290.679993,290.679993,58072445
2021-12-22,290.750000,297.230011,289.230011,295.299988,295.299988,58788830
2021-12-23,296.480011,298.100006,291.260010,293.989990,293.989990,51431430
2021-12-24,293.549988,294.179993,289.000000,293.619995,293.619995,35224451
2021-12-27,294.660004,296.000000,293.369995,295.000000,295.000000,32633340
2021-12-28,297.250000,297.549988,294.179993,295.529999,295.529999,34364380
2021-12-29,294.470001,295.549988,291.329987,293.000000,293.000000,34820002
2021-12-30,293.140015,294.679993,291.519989,293.489990,293.489990,37121450
2022-01-03,296.100006,303.880005,296.000000,302.850006,302.850006,45109764
2022-01-04,308.529999,308.799988,301.630005,304.500000,304.500000,49869680
2022-01-05,302.709991,304.190002,297.059998,297.260010,297.260010,38421900
2022-01-06,292.829987,295.100006,287.420013,292.910004,292.910004,72853031
2022-01-10,296.989990,298.500000,288.679993,290.260010,290.260010,61468730
2022-01-11,291.000000,292.880005,288.709991,290.589996,290.589996,53141460
2022-01-12,291.429993,292.299988,285.049988,289.329987,289.329987,75715730
2022-01-13,288.700012,290.299988,269.899994,272.899994,272.899994,177458892
2022-01-14,275.010010,276.799988,249.199997,254.589996,254.589996,376603880
2022-01-17,262.149994,264.010010,247.000000,257.100006,257.100006,248689250
2022-01-18,257.100006,257.100006,257.100006,257.100006,257.100006,0
2022-01-19,232.899994,249.000000,221.029999,241.389999,241.389999,360958990
2022-01-20,244.169998,263.000000,240.009995,260.000000,260.000000,329113650
2022-01-21,252.990005,259.079987,246.000000,246.850006,246.850006,295690670
2022-01-24,246.509995,249.880005,226.000000,234.820007,234.820007,325829650
2022-01-25,237.000000,243.550003,231.000000,231.699997,231.699997,232596970
2022-01-26,240.500000,245.169998,233.300003,239.279999,239.279999,224840650
2022-01-27,235.000000,260.000000,233.100006,253.000000,253.000000,301306340
2022-01-28,255.869995,262.000000,252.020004,257.279999,257.279999,204180270
2022-01-31,257.279999,257.279999,257.279999,257.279999,257.279999,0
2022-02-01,269.720001,273.100006,260.559998,262.600006,262.600006,170396140
2022-02-02,265.880005,266.910004,254.520004,258.640015,258.640015,170215080
2022-02-03,258.450012,259.869995,250.059998,252.710007,252.710007,151173100
2022-02-04,251.990005,259.739990,251.910004,254.220001,254.220001,127035170
2022-02-07,256.989990,260.529999,253.520004,256.690002,256.690002,85586640
2022-02-08,257.600006,269.899994,256.519989,269.049988,269.049988,161506220
2022-02-09,270.010010,279.709991,270.000000,279.369995,279.369995,193575010
2022-02-10,279.200012,282.299988,273.670013,278.899994,278.899994,180148360
2022-02-11,274.899994,275.869995,259.609985,266.600006,266.600006,213954390
2022-02-14,256.690002,259.500000,245.100006,255.669998,255.669998,357654570
2022-02-15,257.890015,274.000000,257.510010,270.209991,270.209991,271518670
2022-02-16,276.880005,281.000000,274.149994,277.489990,277.489990,195822410
2022-02-17,277.000000,277.000000,259.359985,261.049988,261.049988,262088700
