Date,Open,High,Low,Close,Adj Close,Volume
2021-03-25,0.037920,0.038170,0.037670,0.037830,0.035656,12724570001
2021-03-26,0.038100,0.038390,0.038100,0.038230,0.036033,10350100000
2021-03-29,0.038330,0.038900,0.038140,0.038660,0.036438,23889930000
2021-03-30,0.038950,0.039850,0.038850,0.039750,0.037465,31473710000
2021-03-31,0.039920,0.042890,0.039850,0.042530,0.040086,173810890000
2021-04-01,0.043000,0.043640,0.042300,0.042570,0.040123,89723470000
2021-04-02,0.042810,0.043180,0.042070,0.042830,0.040368,36305650000
2021-04-05,0.042860,0.044430,0.042730,0.044270,0.041726,65215880000
2021-04-06,0.044490,0.044940,0.043100,0.043300,0.040811,87166670000
2021-04-07,0.042900,0.044400,0.042680,0.043920,0.041396,52919970000
2021-04-08,0.044070,0.044200,0.044000,0.044180,0.041641,47437360000
2021-04-09,0.044060,0.044150,0.043400,0.043560,0.041056,28811820002
2021-04-12,0.043620,0.044500,0.043350,0.043970,0.041443,26133000000
2021-04-13,0.044270,0.045490,0.044170,0.045370,0.042762,47031460000
2021-04-14,0.045720,0.047180,0.045630,0.046870,0.044176,76229100000
2021-04-15,0.045900,0.046710,0.045650,0.046450,0.043780,37239040000
2021-04-16,0.046760,0.047530,0.046570,0.047460,0.044732,47525660001
2021-04-19,0.047600,0.047800,0.046350,0.046650,0.043969,50467820000
2021-04-20,0.046680,0.048200,0.045930,0.046380,0.043714,128771230000
2021-04-21,0.046770,0.047800,0.046500,0.047630,0.044892,61126890000
2021-04-22,0.048000,0.048270,0.047220,0.048100,0.045335,53890710000
2021-04-23,0.048160,0.051500,0.048100,0.051190,0.048248,179707700000
2021-04-26,0.051800,0.052160,0.050410,0.051600,0.048634,102594440000
2021-04-27,0.051320,0.051770,0.050880,0.051430,0.048474,56920240000
2021-04-28,0.051700,0.051720,0.050140,0.050300,0.047409,68449790000
2021-04-29,0.050620,0.051240,0.049450,0.049800,0.046938,64437970000
2021-04-30,0.049830,0.051600,0.049560,0.051410,0.048455,69307920000
2021-05-04,0.051890,0.054900,0.051770,0.054350,0.051226,138563250008
2021-05-05,0.054830,0.055660,0.053530,0.054140,0.051028,73623190000
2021-05-06,0.054200,0.054840,0.053570,0.054140,0.051028,33980550000
2021-05-07,0.054250,0.054550,0.052420,0.052770,0.049737,52667550000
2021-05-10,0.053000,0.053200,0.050220,0.051000,0.048069,57404360000
2021-05-11,0.050700,0.051640,0.049500,0.049890,0.047022,78906440000
2021-05-12,0.049850,0.050100,0.048410,0.048630,0.045835,80056540183
2021-05-13,0.048730,0.050200,0.048570,0.050030,0.047154,62033090000
2021-05-14,0.051300,0.051550,0.049600,0.050320,0.047428,52197490001
2021-05-17,0.050330,0.050340,0.047840,0.047960,0.045203,90384140000
2021-05-18,0.048150,0.048570,0.046250,0.046470,0.043799,136678040000
2021-05-19,0.045200,0.047420,0.044110,0.044830,0.042253,333611850000
2021-05-20,0.045490,0.046670,0.044770,0.046000,0.043356,137892200000
